scarcity_score,salary_premium_pct,repost_rate_pct,demand_count,median_days_open,log_median_days_open
45.8,11.3,13.4,2322,0.0,0.0
28.6,-55.9,4.9,99,1.0,0.6931471805599453
44.7,-38.6,12.2,198,1.0,0.6931471805599453
41.7,-2.2,12.7,28,0.0,0.0
21.9,-45.3,10.6,24,0.0,0.0
20.6,-45.3,9.0,32,0.0,0.0
51.9,22.8,35.2,30,0.0,0.0
51.6,-13.6,1.4,82,2.0,1.0986122886681098
41.6,-43.2,11.5,761,1.0,0.6931471805599453
34.1,-47.4,9.3,294,1.0,0.6931471805599453
41.2,-2.6,13.3,251,0.0,0.0
22.8,-41.1,4.3,72,0.0,0.0
29.7,-12.4,0.0,48,1.0,0.6931471805599453
27.6,-54.5,2.9,57,1.0,0.6931471805599453
40.2,-45.3,15.4,75,1.0,0.6931471805599453
19.6,-5.6,0.0,29,0.0,0.0
72.7,9.4,1.4,132,47.0,3.871201010907891
41.6,-45.3,18.3,159,1.0,0.6931471805599453
51.7,0.0,5.8,264,1.0,0.6931471805599453
85.6,48.3,6.6,132,13.0,2.6390573296152584
42.1,-61.2,6.5,37,2.0,1.0986122886681098
36.8,-47.4,13.2,147,1.0,0.6931471805599453
32.1,-43.9,35.4,46,0.0,0.0
71.5,43.5,23.0,62,1.0,0.6931471805599453
14.7,-12.4,0.0,16,0.0,0.0
67.0,26.5,0.0,13,41.0,3.7376696182833684
52.4,-10.9,1.5,319,2.0,1.0986122886681098
39.1,8.0,15.9,286,0.0,0.0
66.4,-8.7,16.2,220,2.0,1.0986122886681098
41.9,26.9,11.8,790,0.0,0.0
22.9,12.9,0.0,29,0.0,0.0
42.7,10.0,18.1,564,0.0,0.0
51.4,-9.0,4.3,78,1.0,0.6931471805599453
61.2,2.4,7.1,12,1.0,0.6931471805599453
63.8,51.0,0.0,14,2.0,1.0986122886681098
45.6,24.2,17.2,167,0.0,0.0
51.6,-8.2,0.0,52,6.0,1.9459101490553132
32.3,-12.0,21.4,609,0.0,0.0
26.1,-12.0,13.1,127,0.0,0.0
25.3,-37.1,21.7,114,0.0,0.0
39.1,16.2,12.6,471,0.0,0.0
58.9,-8.2,10.4,238,1.0,0.6931471805599453
65.0,-11.4,40.0,54,1.0,0.6931471805599453
55.7,80.2,22.1,81,0.0,0.0
56.5,-16.3,2.0,33,53.0,3.9889840465642745
40.1,13.7,14.5,610,0.0,0.0
20.5,-26.6,12.9,319,0.0,0.0
16.2,-29.8,7.2,17,0.0,0.0
44.0,106.3,5.8,27,0.0,0.0
35.0,201.3,0.0,37,0.0,0.0
46.0,43.7,14.8,253,0.0,0.0
27.1,-25.7,20.7,139,0.0,0.0
38.3,51.0,2.6,13,0.0,0.0
54.0,50.1,35.9,182,0.0,0.0
42.3,19.2,14.7,56,0.0,0.0
38.3,-8.2,24.8,28,0.0,0.0
9.9,-42.8,2.9,21,0.0,0.0
19.6,-20.2,6.6,109,0.0,0.0
82.5,124.2,6.3,80,9.0,2.302585092994046
24.3,17.4,0.0,10,0.0,0.0
57.7,-58.9,19.3,48,3.0,1.3862943611198906
28.4,2.6,4.3,340,0.0,0.0
42.1,-39.0,0.8,133,2.0,1.0986122886681098
31.5,-3.5,12.3,994,0.0,0.0
28.3,-25.7,22.4,24,0.0,0.0
26.6,-2.2,4.5,20,0.0,0.0
32.3,2.6,7.2,144,0.0,0.0
55.3,-2.8,0.0,13,33.0,3.5263605246161616
27.2,-22.2,19.2,66,0.0,0.0
24.0,-22.2,15.1,109,0.0,0.0
41.4,43.0,7.9,47,0.0,0.0
27.8,-19.0,16.0,578,0.0,0.0
39.8,-53.7,0.0,34,44.0,3.8066624897703196
41.6,9.7,17.4,1406,0.0,0.0
15.7,-22.2,5.2,67,0.0,0.0
18.3,-29.8,10.9,56,0.0,0.0
72.4,45.8,8.7,92,1.0,0.6931471805599453
9.7,-44.9,3.2,16,0.0,0.0
72.9,1.8,46.8,33,1.0,0.6931471805599453
33.7,-9.0,19.0,95,0.0,0.0
25.2,-22.2,16.1,60,0.0,0.0
42.6,48.2,7.4,25,0.0,0.0
34.7,1.8,13.5,534,0.0,0.0
42.2,22.7,13.9,410,0.0,0.0
30.1,-10.9,15.7,1682,0.0,0.0
38.6,17.5,9.5,735,0.0,0.0
20.9,-11.4,5.6,502,0.0,0.0
0.0,-59.5,0.0,16,0.0,0.0
28.1,-2.2,6.5,298,0.0,0.0
17.8,-22.2,6.8,41,0.0,0.0
34.1,-8.7,17.5,103,0.0,0.0
30.6,51.0,0.0,23,0.0,0.0
87.3,44.6,36.8,25,2.0,1.0986122886681098
35.8,35.2,6.7,166,0.0,0.0
29.1,-33.3,23.0,214,0.0,0.0
30.8,-43.3,2.8,71,1.0,0.6931471805599453
35.7,-22.5,17.6,1288,0.0,0.0
42.8,-31.7,9.1,174,1.0,0.6931471805599453
27.2,-33.3,20.6,864,0.0,0.0
22.8,-41.7,18.2,112,0.0,0.0
37.3,-26.2,31.3,80,0.0,0.0
30.7,-25.8,16.6,950,0.0,0.0
36.4,9.8,14.0,12,0.0,0.0
51.4,-3.9,5.7,91,1.0,0.6931471805599453
37.8,25.8,12.5,16,0.0,0.0
31.4,-30.0,18.6,368,0.0,0.0
42.3,-13.9,36.1,16,0.0,0.0
38.3,14.2,14.5,33,0.0,0.0
25.9,-36.0,20.2,378,0.0,0.0
34.6,-31.5,23.7,313,0.0,0.0
68.0,107.1,10.0,39,1.0,0.6931471805599453
14.0,-43.3,14.3,87,0.0,0.0
23.1,-33.3,16.6,89,0.0,0.0
54.6,-9.1,2.7,142,2.0,1.0986122886681098
38.6,6.6,16.2,165,0.0,0.0
64.9,6.6,12.5,70,2.0,1.0986122886681098
46.3,-60.4,20.7,57,1.0,0.6931471805599453
27.2,-40.0,23.5,89,0.0,0.0
53.7,28.2,0.0,16,1.0,0.6931471805599453
30.6,-30.0,18.0,641,0.0,0.0
41.8,-7.9,22.5,449,0.0,0.0
79.6,25.1,17.0,104,5.0,1.791759469228055
44.0,36.1,14.9,117,0.0,0.0
29.1,-25.8,15.3,22,0.0,0.0
43.7,108.4,9.5,38,0.0,0.0
49.2,-25.8,0.0,31,3.0,1.3862943611198906
79.2,58.3,11.4,14,7.0,2.0794415416798357
69.3,13.8,8.1,27,9.0,2.302585092994046
64.4,-25.8,12.9,21,30.0,3.4339872044851463
24.9,-31.7,15.7,69,0.0,0.0
15.9,-43.3,15.2,68,0.0,0.0
42.5,-43.3,16.5,85,1.0,0.6931471805599453
31.7,-31.7,22.9,451,0.0,0.0
74.3,-13.9,37.5,19,2.0,1.0986122886681098
18.5,-40.0,15.1,68,0.0,0.0
20.4,-6.0,0.0,31,0.0,0.0
66.6,26.7,8.3,23,2.0,1.0986122886681098
53.6,-40.0,14.9,51,5.0,1.791759469228055
40.2,58.4,8.2,14,0.0,0.0
43.9,59.9,11.9,48,0.0,0.0
25.7,16.8,0.0,98,0.0,0.0
42.0,-58.9,11.6,32,2.0,1.0986122886681098
29.2,31.2,0.0,21,0.0,0.0
32.5,-25.8,17.8,153,0.0,0.0
40.0,5.7,17.4,151,0.0,0.0
28.4,3.0,8.1,48,0.0,0.0
28.0,-33.3,21.0,853,0.0,0.0
62.0,39.4,6.7,65,1.0,0.6931471805599453
74.7,45.0,1.9,299,33.0,3.5263605246161616
41.9,1.9,12.2,968,0.0,0.0
75.3,8.2,11.7,120,18.0,2.9444389791664403
43.4,75.7,0.0,14,1.0,0.6931471805599453
33.7,-27.1,10.4,555,0.0,0.0
46.4,-17.4,12.2,1909,1.0,0.6931471805599453
55.1,1.1,21.9,76,1.0,0.6931471805599453
39.7,-26.5,17.3,751,0.0,0.0
53.8,-7.9,26.5,76,1.0,0.6931471805599453
77.4,8.2,8.2,27,43.0,3.784189633918261
31.6,-37.8,15.2,632,0.0,0.0
23.2,-49.8,13.2,579,0.0,0.0
73.0,82.4,0.0,31,54.0,4.007333185232471
37.3,-29.3,17.2,896,0.0,0.0
57.3,47.2,1.2,133,2.0,1.0986122886681098
60.4,1.7,4.5,46,10.0,2.3978952727983707
82.3,53.5,6.6,30,29.0,3.4011973816621555
70.8,37.1,1.9,295,31.0,3.4657359027997265
52.0,-36.4,1.2,138,22.0,3.1354942159291497
42.9,52.7,4.5,91,0.0,0.0
40.7,70.8,1.7,19,0.0,0.0
17.3,-52.6,0.7,152,1.0,0.6931471805599453
37.5,-44.1,19.9,646,1.0,0.6931471805599453
52.8,1.7,5.2,156,2.0,1.0986122886681098
64.0,-4.6,7.5,156,15.0,2.772588722239781
60.9,1.7,3.7,151,15.0,2.772588722239781
65.9,49.2,3.2,223,6.0,1.9459101490553132
31.7,-44.1,10.4,171,1.0,0.6931471805599453
70.6,37.1,6.7,77,13.0,2.6390573296152584
86.0,53.1,10.7,46,24.0,3.2188758248682006
41.1,-44.1,10.0,82,2.0,1.0986122886681098
45.2,-42.0,0.0,49,54.0,4.007333185232471
45.3,-29.1,14.9,828,1.0,0.6931471805599453
47.5,-25.6,14.9,681,1.0,0.6931471805599453
26.6,-49.8,7.4,278,1.0,0.6931471805599453
56.7,29.5,0.0,232,15.0,2.772588722239781
41.5,-37.1,4.3,327,2.0,1.0986122886681098
74.6,41.4,3.2,25,36.0,3.6109179126442243
52.6,49.2,14.7,165,0.0,0.0
38.5,-15.7,13.3,2073,0.0,0.0
32.5,-42.0,9.8,1389,1.0,0.6931471805599453
49.2,-36.4,5.9,101,3.0,1.3862943611198906
65.3,-4.6,12.3,294,6.0,1.9459101490553132
66.2,-10.4,10.3,551,15.0,2.772588722239781
66.8,10.6,8.9,813,6.0,1.9459101490553132
46.9,-19.7,13.0,39,1.0,0.6931471805599453
27.9,-43.1,15.3,244,0.0,0.0
45.0,9.8,5.2,1205,1.0,0.6931471805599453
48.1,17.7,6.2,685,1.0,0.6931471805599453
36.9,-34.7,21.1,77,0.0,0.0
45.3,-54.0,8.4,146,12.0,2.5649493574615367
32.2,-55.5,15.9,273,1.0,0.6931471805599453
32.6,-37.8,6.2,203,1.0,0.6931471805599453
24.3,-28.7,0.0,66,1.0,0.6931471805599453
48.5,-31.1,8.0,703,2.0,1.0986122886681098
31.5,-52.6,0.0,20,15.0,2.772588722239781
20.4,-54.0,4.0,152,1.0,0.6931471805599453
46.0,-42.0,12.3,657,2.0,1.0986122886681098
25.9,-42.1,0.0,11,2.0,1.0986122886681098
65.1,46.4,0.0,14,23.0,3.1780538303479458
69.1,6.6,9.5,133,15.0,2.772588722239781
40.0,-33.3,10.2,2075,1.0,0.6931471805599453
30.2,-28.7,8.1,50,0.0,0.0
73.3,29.9,5.5,195,18.0,2.9444389791664403
36.6,-37.8,10.3,1609,1.0,0.6931471805599453
40.2,-42.0,3.6,126,3.0,1.3862943611198906
36.5,-36.4,30.2,28,0.0,0.0
33.6,-34.9,14.2,302,0.0,0.0
34.9,-44.8,4.7,227,2.0,1.0986122886681098
48.0,-43.4,16.2,366,2.0,1.0986122886681098
45.6,-48.4,5.3,194,15.0,2.772588722239781
9.2,-62.5,3.6,18,0.0,0.0
38.1,29.4,5.2,59,0.0,0.0
8.8,-50.5,1.1,43,0.0,0.0
67.6,27.3,0.6,80,31.0,3.4657359027997265
69.6,0.4,5.8,404,31.0,3.4657359027997265
50.9,-13.4,16.5,400,1.0,0.6931471805599453
37.0,-39.8,11.2,1375,1.0,0.6931471805599453
32.9,-2.5,5.3,1061,0.0,0.0
0.7,-55.1,0.0,34,0.0,0.0
44.1,-11.6,0.0,10,4.0,1.6094379124341003
58.7,24.7,1.4,45,6.0,1.9459101490553132
41.4,-22.6,8.0,212,1.0,0.6931471805599453
31.6,-28.7,9.9,46,0.0,0.0
34.7,-37.4,21.1,412,0.0,0.0
39.4,-38.5,13.3,1342,1.0,0.6931471805599453
34.0,-39.9,0.6,192,2.0,1.0986122886681098
81.4,97.0,0.2,244,26.0,3.295836866004329
24.2,-38.5,22.0,107,0.0,0.0
55.7,54.1,0.0,33,54.0,4.007333185232471
35.0,26.3,14.6,120,0.0,0.0
41.9,13.5,0.0,24,12.0,2.5649493574615367
50.3,82.0,11.9,57,0.0,0.0
42.1,8.2,0.4,213,2.0,1.0986122886681098
41.0,-12.3,0.0,51,46.0,3.8501476017100584
36.0,10.7,0.0,71,11.0,2.4849066497880004
24.1,32.4,0.0,24,1.0,0.6931471805599453
15.3,-39.7,0.0,60,2.0,1.0986122886681098
52.7,41.1,7.6,259,2.0,1.0986122886681098
40.0,85.9,0.0,88,1.0,0.6931471805599453
32.7,122.6,0.0,14,0.0,0.0
59.0,81.1,0.0,18,41.0,3.7376696182833684
49.0,41.5,0.2,164,2.0,1.0986122886681098
28.8,32.4,0.0,27,2.0,1.0986122886681098
21.5,71.1,0.0,40,0.0,0.0
7.9,-3.0,0.0,34,0.0,0.0
26.0,81.2,0.0,23,0.0,0.0
85.6,127.3,1.2,178,26.0,3.295836866004329
50.9,68.7,6.3,683,1.0,0.6931471805599453
55.2,89.4,0.0,36,8.0,2.1972245773362196
22.1,-4.4,0.0,136,2.0,1.0986122886681098
36.6,49.7,15.7,15,0.0,0.0
31.4,24.2,24.4,285,0.0,0.0
27.4,28.0,8.3,80,0.0,0.0
31.5,0.7,41.4,85,0.0,0.0
